FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
149,2015-04-25,DL,LGA,MCO,950,0.0,,False,False,False,False,False
150,2015-01-12,AA,MIA,LGA,1096,4.0,,False,False,False,False,False
151,2015-11-01,AA,CLE,CLT,430,0.0,,False,False,False,False,False
152,2015-05-25,OO,SFO,SAN,447,4.0,,False,False,False,False,False
153,2015-02-21,OO,LAX,SBA,89,183.0,,False,False,False,False,True
154,2015-07-04,WN,SMF,LAX,373,2.0,,False,False,False,False,False
155,2015-03-25,UA,IAH,SAN,1303,0.0,,False,False,False,False,False
156,2015-06-27,US,PHX,CLT,1773,10.0,,False,False,False,False,False
157,2015-03-24,AS,LAX,SEA,954,4.0,,False,False,False,False,False
158,2015-04-16,US,PHL,RSW,993,4.0,,False,False,False,False,False
159,2015-08-29,DL,RDU,LAX,2239,0.0,,False,False,False,False,False
160,2015-07-18,EV,RIC,DTW,456,0.0,,False,False,False,False,False
161,2015-12-08,OO,MSO,SLC,436,0.0,,False,False,False,False,False
162,2015-05-07,DL,OMA,MSP,282,68.0,,False,False,False,True,False
163,2015-07-06,OO,BDL,ORD,783,50.0,,True,False,False,False,True
164,2015-07-15,NK,LAS,CLE,1824,0.0,,False,False,False,False,False
165,2015-04-02,EV,GSO,ATL,306,13.0,,False,False,False,False,False
166,2015-11-07,WN,ISP,MCO,971,0.0,,False,False,False,False,False
167,2015-02-04,MQ,ORD,DSM,299,27.0,,True,False,False,False,False
168,2015-06-09,MQ,LGA,CMH,479,69.0,,False,False,False,False,True
169,2015-08-05,AA,SJC,DFW,1438,0.0,,False,False,False,False,False
170,2015-05-09,B6,JFK,SAN,2446,19.0,,False,False,False,False,False
171,2015-02-22,EV,OMA,ORD,416,2.0,,False,False,False,False,False
172,2015-11-15,WN,DEN,TUL,541,0.0,,False,False,False,False,False
173,2015-04-22,OO,SGU,DEN,517,0.0,,False,False,False,False,False
174,2015-02-01,AA,PHX,DFW,868,0.0,,False,False,False,False,False
175,2015-03-21,WN,LAS,LAX,236,0.0,,False,False,False,False,False
176,2015-06-05,EV,ROA,ORD,531,6.0,,False,False,False,False,False
177,2015-09-23,EV,CLT,MSP,930,0.0,,False,False,False,False,False
178,2015-07-11,UA,PHX,ORD,1440,0.0,,False,False,False,False,False
179,2015-11-27,WN,SMF,PHX,647,3.0,,False,False,False,False,False
180,2015-01-25,EV,IAH,ABQ,744,0.0,,False,False,False,False,False
181,2015-04-22,DL,DTW,SFO,2079,0.0,,False,False,False,False,False
182,2015-12-27,UA,CLE,LAS,1824,1615.0,,False,False,False,True,False
